"airport","code","airlines"
"Abu Dhabi, United Arab Emirates","AUH","Etihad Airways"
"Accra, Ghana","ACC","Delta"
"Amman, Jordan","AMM","Alia-(The) Royal Jordanian"
"Amsterdam, Netherlands","AMS","Norwegian Air Shuttle ASA, Klm, Delta"
"Aruba, Aruba","AUA","Delta, JetBlue"
"Baku, Azerbaijan","GYD","Azerbaijan Airlines CJSC"
"Barbados/Bridgetown, Barbados","BGI","JetBlue"
"Barcelona, Spain","BCN","Delta, American"
"Beijing, China","PEK","Air China"
"Belgrade, Serbia","BEG","Air Serbia"
"Bogota, Colombia","BOG","Aerovias Nacl De Colombia"
"Brussels, Belgium","BRU","Brussels Airlines N.V., Delta"
"Budapest, Hungary","BUD","LOT Polish Airlines"
"Cairo, Egypt","CAI","Egyptair"
"Calgary, Canada","YYC","Westjet"
"Cancun, Mexico","CUN","ABC Aerolineas SA de CV dba Interjet, JetBlue, American, Delta"
"Caracas, Venezuela","CCS","Eastern Airlines f/k/a Dynamic Airways LLC"
"Cartagena, Colombia","CTG","Aerovias Nacl De Colombia, JetBlue"
"Casablanca, Morocco","CMN","Royal Air Maroc"
"Chengdu, China","CTU","Hainan Airlines Company Limited"
"Chongqing, China","CKG","Hainan Airlines Company Limited"
"Copenhagen, Denmark","CPH","Norwegian Air Shuttle ASA"
"Dakar Thies, Senegal","DSS","Delta"
"Delhi, India","DEL","Air India"
"Doha, Qatar","DOH","Qatar Airways"
"Dubai, United Arab Emirates","DXB","Emirates"
"Dublin, Ireland","DUB","Aer Lingus, Delta"
"Dusseldorf, Germany","DUS","Eurowings"
"Ezeiza, Argentina","EZE","Aerolineas Argentinas, American"
"Fort de France, Martinique","FDF","Norwegian Air International"
"Frankfurt, Germany","FRA","Lufthansa, Singapore Airlines, Delta"
"Fuzhou, China","FOC","Xiamen Airlines Co."
"Geneva, Switzerland","GVA","Swiss"
"Georgetown, Guyana","GEO","Caribbean Airlines"
"Grand Cayman, Cayman Islands","GCM","Cayman Airways Limited, JetBlue"
"Grenada, Grenada","GND","JetBlue, Delta"
"Guadalajara, Mexico","GDL","Volaris"
"Guangzhou, China","CAN","China Southern"
"Guatemala City, Guatemala","GUA","TACA"
"Guayaquil, Ecuador","GYE","LAN"
"Hamilton, Bermuda","BDA","Delta, American, JetBlue"
"Havana, Cuba","HAV","JetBlue"
"Helsinki, Finland","HEL","Finnair Oy"
"Hong Kong, Hong Kong","HKG","Cathay Pacific"
"Istanbul, Turkey","IST","Turk Hava Yollari A.O."
"Jeddah, Saudi Arabia","JED","Saudi Arabian Airlines"
"Keflavik/Reykjavik, Iceland","KEF","Icelandair, Delta"
"Kiev, Ukraine","KBP","Ukraine International Airlines"
"Kingston, Jamaica","KIN","Caribbean Airlines, JetBlue, Delta"
"Kuwait, Kuwait","KWI","Kuwait Airways"
"La Romana, Dominican Republic","LRM","JetBlue"
"Lagos, Nigeria","LOS","Delta"
"Liberia, Costa Rica","LIR","JetBlue"
"Lima, Peru","LIM","LAN"
"Lisbon, Portugal","LIS","TAP Portugal, Delta"
"London, United Kingdom","LGW","British Airways, Norwegian Air UK Limited"
"London, United Kingdom","LHR","Delta, Virgin Atlantic, British Airways, American"
"Madrid, Spain","MAD","Air Europa, Norwegian Air Shuttle ASA, Iberia, American, Delta"
"Manchester, United Kingdom","MAN","Virgin Atlantic, Thomas Cook Airlines Uk"
"Manila, Philippines","MNL","Philippine Airlines"
"Medellin, Colombia","MDE","Aerovias Nacl De Colombia"
"Mexico City, Mexico","MEX","Volaris, Aeroenlaces Nacionales S.A. de C.V. / VivaAerobus, ABC Aerolineas SA de CV dba Interjet, Aeromexico, JetBlue, Delta"
"Milan, Italy","MXP","Alitalia, Emirates, Airitaly S.P.A., American, Delta"
"Montego Bay, Jamaica","MBJ","Caribbean Airlines, Delta, JetBlue"
"Monterrey, Mexico","MTY","Aerolitoral, Aeromexico"
"Montreal, Canada","YUL","Endeavor Air, Envoy Air"
"Moscow, Russia","SVO","Aeroflot"
"Mumbai, India","BOM","Air India"
"Munich, Germany","MUC","Lufthansa"
"Nairobi, Kenya","NBO","Kenya Airways PLC"
"Nassau, The Bahamas","NAS","JetBlue, Delta"
"Oslo, Norway","OSL","Norwegian Air Shuttle ASA"
"Panama City, Panama","PTY","Copa"
"Paris, France","CDG","XL Airways France, Compagnie Natl Air France, Norwegian Air Shuttle ASA, Delta, American"
"Paris, France","ORY","Compagnie Natl Air France"
"Philipsburg, Sint Maarten","SXM","American, JetBlue, Delta"
"Pointe A Pitre, Guadeloupe","PTP","Norwegian Air International"
"Port of Spain, Trinidad and Tobago","POS","Caribbean Airlines, JetBlue"
"Port-au-Prince, Haiti","PAP","Delta, JetBlue"
"Providenciales, Turks and Caicos Islands","PLS","Delta, JetBlue"
"Puerto Plata, Dominican Republic","POP","JetBlue"
"Punta Cana, Dominican Republic","PUJ","Delta, JetBlue"
"Quito, Ecuador","UIO","Tame Linea Aerea del Ecuador Tme EP"
"Rio de Janeiro, Brazil","GIG","Delta, American"
"Riyadh, Saudi Arabia","RUH","Saudi Arabian Airlines"
"Rome, Italy","FCO","Alitalia, Delta"
"San Pedro Sula, Honduras","SAP","TACA"
"San Salvador, El Salvador","SAL","Vuela Aviacion S.A., TACA, Lacsa"
"Santiago, Chile","SCL","LAN"
"Santiago, Dominican Republic","STI","JetBlue, Delta"
"Santo Domingo, Dominican Republic","SDQ","JetBlue, Delta"
"Sao Paulo, Brazil","GRU","Oceanair Linhas Aereas S A, Transportes Aeros Meridiona, American, Delta"
"Seoul, South Korea","ICN","Asiana, Korean Air"
"Shanghai, China","PVG","China Eastern"
"Shannon, Ireland","SNN","Aer Lingus"
"St. Johns, Antigua and Barbuda","ANU","Delta, JetBlue, American"
"St. Kitts, Saint Kitts and Nevis","SKB","Delta, American"
"St. Lucia, Saint Lucia","UVF","JetBlue"
"St. Vincent, Saint Vincent and the Grenadines","SVD","Caribbean Airlines"
"Stockholm, Sweden","ARN","Norwegian Air Shuttle ASA"
"Taipei, Taiwan","TPE","Eva, China Airlines"
"Tashkent, Uzbekistan","TAS","Uzbekistan Airways"
"Tel Aviv, Israel","TLV","El Al Israel Airlines, Delta"
"Tobago, Trinidad and Tobago","TAB","Caribbean Airlines"
"Tokyo, Japan","HND","All Nippon Airways (ANA), Japan Air Lines (JAL)"
"Tokyo, Japan","NRT","All Nippon Airways (ANA), Japan Air Lines (JAL)"
"Toronto, Canada","YYZ","Delta, Envoy Air, Endeavor Air"
"Vancouver, Canada","YVR","Cathay Pacific"
"Warsaw, Poland","WAW","LOT Polish Airlines"
"Willemstad, Curacao","CUR","JetBlue"
"Zurich, Switzerland","ZRH","Swiss, Delta"